cluster_id,subtype_id,subtype_name
19,276,VCCB
4,249,VCWD
22,100,SAFL
1,247,GEN
10,412,BRDR
22,324,PLTT
5,249,VCWD
11,55,PC
5,431,CMPR.1.1.1
17,356,HYCY
23,501,GUN
20,378,TRBC
9,257,CMPT
8,217,WARM
4,193,HCPC
26,199,WPS
17,118,FLO
10,299,WLCS
24,443,GFNG
24,35,AIRC
21,388,RBB
12,156,DRLH
14,2,AOBR
8,177,RP
24,499,MLCH
29,182,TQW
8,142,PRK
8,150,EB
21,395,CHA
21,266,TM
5,182,TQW
16,470,CNR
10,178,SBL
21,349,HDC
5,340,SRCP
26,0,DUNI
21,199,WPS
19,440,GRDR
29,124,MILD
8,245,SL.1
16,2,AOBR
21,126,RFG
2,360,FJC
8,382,TRSC
22,209,VBSX
29,131,GLL
25,344,VBFX
22,435,SL
5,45,GRAG
6,339,SSL
25,210,LBLW
17,383,LFTG
22,140,RSAW
10,157,TREQ
9,382,TRSC
26,256,WHBT
12,48,AB
24,77,CDS
19,447,HTP
11,209,VBSX
8,468,STGP
15,412,BRDR
12,124,MILD
7,342,SNDB
8,433,PNTR
8,227,SSPF
24,124,MILD
21,452,NOLT
17,14,VCCL
29,64,CWB
7,81,HH.1
9,466,P&C
29,465,WLDR
22,283,STLK
26,380,AD.1
2,83,YDS
18,240,WDMA
19,298,BKSC
8,469,CVY
5,43,PIPT
14,498,SAWC
8,282,SBOX
12,339,SSL
12,380,AD.1
8,45,GRAG
6,133,UTE
29,10,EHHK
20,305,TRCR
26,46,CRIM
29,371,EVTI
14,27,IWR
8,198,CTM
23,266,TM
6,375,CFG
17,427,SWRA
8,246,VSPP
19,23,PPSD
12,127,CNBF
12,269,LVL
12,342,SNDB
22,241,RCBC
7,499,MLCH
24,42,CHSW
24,16,CHEP
17,388,RBB
22,481,TBK
7,56,RMTP
17,370,GRA
5,56,RMTP
13,90,DLV
22,247,GEN
24,350,HRH
6,470,CNR
24,178,SBL
21,344,VBFX
24,5,FLST
9,415,WSTE
19,434,SFLE
8,48,AB
19,431,CMPR.1.1.1
18,70,IMWR
9,502,TIR
12,389,SB
12,205,SAW.1
21,216,ELCB
19,8,TTEL
19,369,LSK
8,458,HYTK
22,486,GDK
10,215,CMXR
26,175,VM 
21,471,WHPR
2,408,MCFA
25,395,CHA
19,350,HRH
25,114,TPB
29,108,CHV
21,375,CFG
6,115,RSSD
27,203,PHD
16,5,FLST
8,486,GDK
19,148,ABL
5,374,QUE
22,199,WPS
14,506,HCP
10,508,SWFT
21,440,GRDR
22,295,EVB
10,194,WBHD
18,331,TEL
29,140,RSAW
15,0,DUNI
9,442,CMWR
22,426,LMWR
16,94,EMV
9,226,HYWC
4,59,VMH
4,14,VCCL
8,466,P&C
14,408,MCFA
25,195,PUSL
21,7,TPG
7,90,DLV
24,386,IFL
8,279,RTRT
15,330,DSAW.1
12,376,LHC
26,70,IMWR
9,105,SBM
19,360,FJC
21,0,DUNI
8,301,CPH
9,141,HYPT
29,148,ABL
23,59,VMH
20,300,CHS
11,52,STGR
19,215,CMXR
22,270,PLA
27,299,WLCS
26,137,SDCV
29,59,VMH
9,425,PTB
19,29,FTRA
21,246,VSPP
25,33,PBS
12,111,EXFA
14,215,CMXR
19,28,LNYD
22,121,E.1
21,106,EXTL
17,465,WLDR
16,400,SPHE
22,93,EA
19,216,ELCB
19,305,TRCR
16,156,DRLH
17,425,PTB
2,488,TQC
22,470,CNR
11,470,CNR
8,168,KBB
8,258,CPS
18,230,EF
5,181,RRC
16,60,RTP
24,3,CPHP
8,507,ECW
8,75,DMFR
6,74,CMPR
29,374,QUE
8,357,CBKC
4,175,VM 
21,464,LPL
21,328,OXYS
11,170,SFTY
24,467,JACK
5,245,SL.1
6,124,MILD
12,356,HYCY
19,325,PUSU
5,348,KB
4,330,DSAW.1
18,238,PSF
22,19,GPC
24,360,FJC
19,475,AORD
1,412,BRDR
15,491,HKSW
14,261,BH
8,338,CVNU
6,505,RSDD
19,59,VMH
7,0,DUNI
19,314,NGS
16,313,FST
28,249,VCWD
19,239,VPC
10,249,VCWD
6,290,SLSM
8,425,PTB
9,37,SWTS
8,408,MCFA
20,314,NGS
22,35,AIRC
8,493,SCRM
18,367,ASC
21,60,RTP
10,251,ABO
18,157,TREQ
14,372,HCPE
19,296,MLPD
5,416,SSB.1
17,140,RSAW
17,44,TRFU
18,306,CNCS
12,354,DRLC
22,106,EXTL
25,425,PTB
9,482,MLBK
4,140,RSAW
3,45,GRAG
5,415,WSTE
10,354,DRLC
10,100,SAFL
14,111,EXFA
5,375,CFG
24,111,EXFA
18,106,EXTL
22,412,BRDR
18,127,CNBF
22,474,TRFB
19,300,CHS
24,230,EF
2,78,TRPN
16,78,TRPN
17,234,AOCH
9,364,FSL
9,499,MLCH
6,197,RPSD
26,422,LCT
20,482,MLBK
5,164,GL7
5,42,CHSW
23,352,PUSM
8,234,AOCH
9,389,SB
2,2,AOBR
26,437,VAN
21,486,GDK
5,217,WARM
8,4,TRPA
9,306,CNCS
8,231,DBL
11,136,GEN.1
8,77,CDS
29,72,GRNB
7,142,PRK
8,113,FWP
19,106,EXTL
19,245,SL.1
16,418,WL
11,215,CMXR
17,19,GPC
19,146,PHH
17,203,PHD
29,330,DSAW.1
4,410,R2W
15,142,PRK
17,283,STLK
8,409,PAH
2,77,CDS
11,60,RTP
19,403,PGK
6,434,SFLE
12,114,TPB
10,463,WTRB
7,195,PUSL
11,79,CDVP
20,427,SWRA
16,492,LNC
